Date,13W_TB,5Y_TBY,10Y_TBY,30Y_TBY,DWJ,Year
11/13/2017,-0.0125,0.008272506,0,-0.003819444,0.000746727,2017
11/14/2017,0.046413502,-0.003378378,-0.007916667,-0.010456605,-0.001289692,2017
11/15/2017,-0.008064516,-0.013075061,-0.019319614,-0.020429729,-0.005903167,2017
11/16/2017,0,0.013248283,0.011134904,0.008989572,0.008039094,2017
11/17/2017,0.008130081,-0.001452785,-0.002964845,-0.004632929,-0.004267988,2017
11/20/2017,0,0.015518914,0.007646559,0,0.003086277,2017
11/21/2017,0.030645161,0.006208214,-0.003794266,-0.010741139,0.006850096,2017
11/22/2017,-0.010172144,-0.030374941,-0.017350825,-0.006152733,-0.002740472,2017
11/24/2017,-0.019762846,0.010279001,0.007751938,0.005826657,0.001352111,2017
11/27/2017,-0.013709677,-0.008236434,-0.005128205,0.001086169,0.0009674,2017
11/28/2017,0.034341783,0.010258915,0.004295533,0.000361664,0.010853331,2017
11/29/2017,-0.005533597,0.012088975,0.016253208,0.018438178,0.00436176,2017
11/30/2017,-0.015898251,0.024366937,0.017255892,0.005324814,0.013853825,2017
12/1/2017,-0.002423263,-0.012126866,-0.022755482,-0.026129944,-0.001679277,2017
12/4/2017,0.008097166,0.014164306,0.00719729,0.003988397,0.002412553,2017
12/5/2017,0.030522088,0.001396648,-0.009667928,-0.013362225,-0.004504313,2017
12/6/2017,-0.015588465,-0.014411901,-0.011035654,-0.004758419,-0.00164305,2017
12/7/2017,-0.002375297,0.012264151,0.019742489,0.020595807,0.002923254,2017
12/8/2017,-0.005555556,-0.000465983,0.002946128,0,0.004860504,2017
12/11/2017,0.007980846,0.005594406,0.000839278,-0.001441441,0.002337524,2017
12/12/2017,0.037212985,0.006954103,0.00754717,0.003608805,0.004870411,2017
12/13/2017,-0.028244275,-0.02854512,-0.02247191,-0.016900396,0.003290376,2017
12/14/2017,0.00785546,0.008530806,-0.001277139,-0.008778347,-0.003122581,2017
12/15/2017,0.001558846,0.01362782,0.003836317,-0.007749077,0.005837936,2017
12/18/2017,0.023346304,0.004636069,0.015711253,0.0204537,0.005697772,2017
12/19/2017,0.028897338,0.024457776,0.029682274,0.028061224,-0.001510556,2017
