"Date","DXY","METALS","OIL","US_STK","INTL_STK","X13W_TB","X10Y_TBY","EURUSD","YEAR"
"2/4/2016",-0.00842841,0.051979188,-0.017348203,0.001568232,0.006230633,-0.15015015,-0.009037746,0.015471469,"2016"
"2/5/2016",0.005804893,0.050931206,-0.026166456,-0.019049997,-0.012826313,-0.017667845,-0.008583691,0.009822361,"2016"
"2/8/2016",-0.004740792,0.026763111,-0.038847523,-0.013461262,-0.016577014,-0.064748201,-0.061147186,-0.004903589,"2016"
"2/9/2016",-0.005177591,-0.042972861,-0.058942405,5.40045e-05,-0.011845306,0.153846154,-0.003458213,0.004017034,"2016"
"2/10/2016",-0.001873644,0.019506846,-0.017537581,-0.000862846,0.000922146,-0.006666667,-0.013880856,0.008952788,"2016"
"2/11/2016",-0.003441454,0.060649745,-0.045173042,-0.013008136,-0.017042521,-0.083892617,-0.035777126,-0.000800709,"2016"
"2/12/2016",0.004395197,0.031994572,0.123235406,0.020617002,0.013121005,-0.010989011,0.063260341,0.003282525,"2016"
"2/16/2016",0.009272765,-0.056068553,-0.013586957,0.016878458,0.019888472,0.011111111,0.017162471,-0.01271605,"2016"
"2/17/2016",-0.00082587,0.025681288,0.055785124,0.016334656,0.019047832,0.073260073,0.023059618,-0.002418995,"2016"
"2/18/2016",0.001653022,0.048373361,0.003587736,-0.004095863,-0.00133515,-0.017064846,-0.032985157,-0.002157525,"2016"
"2/19/2016",-0.003610098,-0.016571893,-0.036724082,-0.000468461,-0.002673871,-0.017361111,-0.006253553,-0.001077949,"2016"
"2/22/2016",0.008074524,0.015529523,0.062078273,0.014479053,0.01206447,0.035335689,0.010297483,0.001168213,"2016"
"2/23/2016",0.001026967,0.014966618,0.012388818,-0.012629542,-0.015010954,0.085324232,-0.01189128,-0.008624619,"2016"
"2/24/2016",-0.000205211,0.008014105,0.008785692,0.004575602,-0.004482226,-0.009433962,-0.001719198,-8.79577e-05,"2016"
